Mkt Al,Orig,Dest,Date,Year,Month,Flights,Seats,ASMs
AA,ABE,CLT,2018-01-01,2018,1,62,4712,2261760
AA,ABE,CLT,2018-02-01,2018,2,56,4256,2042880
AA,ABE,CLT,2018-03-01,2018,3,62,4712,2261760
AA,ABE,CLT,2018-04-01,2018,4,84,6384,3064320
AA,ABE,CLT,2018-05-01,2018,5,93,7016,3367680
AA,ABE,CLT,2018-06-01,2018,6,86,6523,3131040
AA,ABE,CLT,2018-07-01,2018,7,87,6612,3173760
AA,ABE,CLT,2018-08-01,2018,8,89,6764,3246720
AA,ABE,CLT,2018-09-01,2018,9,84,6384,3064320
AA,ABE,CLT,2018-10-01,2018,10,88,6688,3210240
AA,ABE,CLT,2018-11-01,2018,11,83,6308,3027840
AA,ABE,CLT,2018-12-01,2018,12,81,6156,2954880
AA,ABE,PHL,2018-01-01,2018,1,62,3100,170500
AA,ABE,PHL,2018-02-01,2018,2,55,2750,151250
AA,ABE,PHL,2018-03-01,2018,3,62,3100,170500
AA,ABE,PHL,2018-04-01,2018,4,84,4200,231000
AA,ABE,PHL,2018-05-01,2018,5,87,4350,239250
AA,ABE,PHL,2018-06-01,2018,6,106,5300,291500
AA,ABE,PHL,2018-07-01,2018,7,110,5500,302500
AA,ABE,PHL,2018-08-01,2018,8,96,4800,264000
AA,ABE,PHL,2018-09-01,2018,9,59,2950,162250
AA,ABE,PHL,2018-10-01,2018,10,62,3100,170500
AA,ABE,PHL,2018-11-01,2018,11,80,4000,220000
AA,ABE,PHL,2018-12-01,2018,12,79,3950,217250
AA,ABI,DFW,2018-01-01,2018,1,169,7622,1196654
AA,ABI,DFW,2018-02-01,2018,2,143,6532,1025524
AA,ABI,DFW,2018-03-01,2018,3,145,6584,1033688
AA,ABI,DFW,2018-04-01,2018,4,172,8096,1271072
AA,ABI,DFW,2018-05-01,2018,5,177,8532,1339524
AA,ABI,DFW,2018-06-01,2018,6,170,7900,1240300
AA,ABI,DFW,2018-07-01,2018,7,174,7980,1252860
AA,ABI,DFW,2018-08-01,2018,8,181,8222,1290854
AA,ABI,DFW,2018-09-01,2018,9,169,7760,1218320
AA,ABI,DFW,2018-10-01,2018,10,177,8298,1302786
AA,ABI,DFW,2018-11-01,2018,11,169,7934,1245638
AA,ABI,DFW,2018-12-01,2018,12,176,8194,1286458
AA,ABQ,DFW,2018-01-01,2018,1,223,26104,14853176
AA,ABQ,DFW,2018-02-01,2018,2,204,24840,14133960
AA,ABQ,DFW,2018-03-01,2018,3,234,29444,16753636
AA,ABQ,DFW,2018-04-01,2018,4,228,29216,16623904
AA,ABQ,DFW,2018-05-01,2018,5,241,31008,17643552
AA,ABQ,DFW,2018-06-01,2018,6,235,31620,17991780
AA,ABQ,DFW,2018-07-01,2018,7,236,32140,18287660
AA,ABQ,DFW,2018-08-01,2018,8,242,32976,18763344
AA,ABQ,DFW,2018-09-01,2018,9,227,31640,18003160
AA,ABQ,DFW,2018-10-01,2018,10,238,33176,18877144
AA,ABQ,DFW,2018-11-01,2018,11,224,30736,17488784
AA,ABQ,DFW,2018-12-01,2018,12,223,30892,17577548
AA,ABQ,LAX,2018-01-01,2018,1,93,7068,4785036
AA,ABQ,LAX,2018-02-01,2018,2,84,6384,4321968
AA,ABQ,LAX,2018-03-01,2018,3,93,7068,4785036
AA,ABQ,LAX,2018-04-01,2018,4,90,6840,4630680
AA,ABQ,LAX,2018-05-01,2018,5,93,7068,4785036
AA,ABQ,LAX,2018-06-01,2018,6,91,6790,4596830
AA,ABQ,LAX,2018-07-01,2018,7,93,6906,4675362
AA,ABQ,LAX,2018-08-01,2018,8,93,6966,4715982
AA,ABQ,LAX,2018-09-01,2018,9,90,6840,4630680
AA,ABQ,LAX,2018-10-01,2018,10,93,7068,4785036
AA,ABQ,LAX,2018-11-01,2018,11,112,8512,5762624
AA,ABQ,LAX,2018-12-01,2018,12,115,8740,5916980
AA,ABQ,ORD,2018-01-01,2018,1,58,6661,7446998
AA,ABQ,ORD,2018-02-01,2018,2,54,6118,6839924
AA,ABQ,ORD,2018-03-01,2018,3,62,6913,7728734
AA,ABQ,ORD,2018-04-01,2018,4,60,9406,10515908
AA,ABQ,ORD,2018-05-01,2018,5,62,9532,10656776
AA,ABQ,ORD,2018-06-01,2018,6,60,9115,10190570
AA,ABQ,ORD,2018-07-01,2018,7,60,9212,10299016
AA,ABQ,ORD,2018-08-01,2018,8,60,9212,10299016
AA,ABQ,ORD,2018-09-01,2018,9,55,8315,9296170
AA,ABQ,ORD,2018-10-01,2018,10,57,8732,9762376
AA,ABQ,ORD,2018-11-01,2018,11,52,7938,8874684
AA,ABQ,ORD,2018-12-01,2018,12,43,5360,5992480
AA,ABQ,PHX,2018-01-01,2018,1,152,11372,3730016
AA,ABQ,PHX,2018-02-01,2018,2,127,10238,3358064
AA,ABQ,PHX,2018-03-01,2018,3,132,11644,3819232
AA,ABQ,PHX,2018-04-01,2018,4,144,10718,3515504
AA,ABQ,PHX,2018-05-01,2018,5,158,11636,3816608
AA,ABQ,PHX,2018-06-01,2018,6,126,9360,3070080
AA,ABQ,PHX,2018-07-01,2018,7,150,11214,3678192
AA,ABQ,PHX,2018-08-01,2018,8,125,9380,3076640
AA,ABQ,PHX,2018-09-01,2018,9,110,8360,2742080
AA,ABQ,PHX,2018-10-01,2018,10,122,10614,3481392
AA,ABQ,PHX,2018-11-01,2018,11,137,10412,3415136
AA,ABQ,PHX,2018-12-01,2018,12,148,11122,3648016
AA,ACK,CLT,2018-06-01,2018,6,2,152,109896
AA,ACK,CLT,2018-07-01,2018,7,4,304,219792
AA,ACK,CLT,2018-08-01,2018,8,4,304,219792
AA,ACK,CLT,2018-09-01,2018,9,1,76,54948
AA,ACK,DCA,2018-06-01,2018,6,17,1292,523260
AA,ACK,DCA,2018-07-01,2018,7,53,4028,1631340
AA,ACK,DCA,2018-08-01,2018,8,45,3420,1385100
AA,ACK,DCA,2018-09-01,2018,9,6,456,184680
AA,ACK,LGA,2018-06-01,2018,6,5,380,76760
AA,ACK,LGA,2018-07-01,2018,7,13,988,199576
AA,ACK,LGA,2018-08-01,2018,8,13,988,199576
AA,ACK,LGA,2018-09-01,2018,9,2,152,30704
AA,ACT,DFW,2018-01-01,2018,1,111,4884,434676
AA,ACT,DFW,2018-02-01,2018,2,104,4576,407264
AA,ACT,DFW,2018-03-01,2018,3,119,5236,466004
AA,ACT,DFW,2018-04-01,2018,4,134,5998,533822
AA,ACT,DFW,2018-05-01,2018,5,146,7072,629408
AA,ACT,DFW,2018-06-01,2018,6,145,6524,580636
AA,ACT,DFW,2018-07-01,2018,7,146,6424,571736
AA,ACT,DFW,2018-08-01,2018,8,148,6578,585442
AA,ACT,DFW,2018-09-01,2018,9,135,6120,544680
AA,ACT,DFW,2018-10-01,2018,10,142,6434,572626
AA,ACT,DFW,2018-11-01,2018,11,136,6182,550198
AA,ACT,DFW,2018-12-01,2018,12,127,5714,508546
AA,AEX,DFW,2018-01-01,2018,1,89,4366,1244310
AA,AEX,DFW,2018-02-01,2018,2,79,3950,1125750
AA,AEX,DFW,2018-03-01,2018,3,88,3926,1118910
AA,AEX,DFW,2018-04-01,2018,4,86,4120,1174200
AA,AEX,DFW,2018-05-01,2018,5,89,4432,1263120
AA,AEX,DFW,2018-06-01,2018,6,89,4018,1145130
AA,AEX,DFW,2018-07-01,2018,7,89,3916,1116060
AA,AEX,DFW,2018-08-01,2018,8,93,4104,1169640
AA,AEX,DFW,2018-09-01,2018,9,89,3952,1126320
AA,AEX,DFW,2018-10-01,2018,10,92,4072,1160520
AA,AEX,DFW,2018-11-01,2018,11,87,3846,1096110
AA,AEX,DFW,2018-12-01,2018,12,90,3978,1133730
AA,AGS,CLT,2018-01-01,2018,1,180,9367,1311380
AA,AGS,CLT,2018-02-01,2018,2,175,9855,1379700
AA,AGS,CLT,2018-03-01,2018,3,217,12862,1800680
AA,AGS,CLT,2018-04-01,2018,4,189,12009,1681260
AA,AGS,CLT,2018-05-01,2018,5,214,14470,2025800
AA,AGS,CLT,2018-06-01,2018,6,185,10303,1442420
AA,AGS,CLT,2018-07-01,2018,7,182,9477,1326780
AA,AGS,CLT,2018-08-01,2018,8,186,9963,1394820
AA,AGS,CLT,2018-09-01,2018,9,178,10291,1440740
AA,AGS,CLT,2018-10-01,2018,10,185,10914,1527960
AA,AGS,CLT,2018-11-01,2018,11,177,10634,1488760
AA,AGS,CLT,2018-12-01,2018,12,176,10783,1509620
AA,AGS,DCA,2018-04-01,2018,4,15,945,442260
AA,AGS,DFW,2018-04-01,2018,4,9,684,597816
AA,AGS,LGA,2018-04-01,2018,4,9,684,463752
AA,AGS,ORD,2018-04-01,2018,4,7,441,298557
AA,AGS,PHL,2018-04-01,2018,4,8,582,339306
AA,AGU,DFW,2018-01-01,2018,1,62,3490,2882740
AA,AGU,DFW,2018-02-01,2018,2,56,2800,2312800
AA,AGU,DFW,2018-03-01,2018,3,62,3100,2560600
AA,AGU,DFW,2018-04-01,2018,4,60,3000,2478000
AA,AGU,DFW,2018-05-01,2018,5,62,3100,2560600
AA,AGU,DFW,2018-06-01,2018,6,60,3000,2478000
